conferenceTarget,rowCount,minYear,maxYear,displays,level
NAIA independent schools,67,1898,2014,Ind. (NAIA); Ind.,
NCAA independent schools prior to 1937,61,1884,1960,Ind.,
Ind.,55,1884,2010,Ind.,
NCAA College Division independent schools,49,1889,1972,Ind. (Coll.); Ind.,
Southern Intercollegiate Athletic Association,46,1895,1941,SIAA; SIAC,
Southern Conference,41,1921,2026,SoCon,
Conference USA,39,1996,2026,C-USA; CUSA,
NCAA independent schools prior to divisions,38,1880,1972,Ind.,
Pac-12 Conference,38,1959,2026,Pac-12; Pac-10; Pac-8; AAWU,
Western Athletic Conference,36,1962,2022,WAC,
American Conference (NCAA),35,2013,2025,American; The American; The American),
Lone Star Conference,29,1931,2022,LSC,
Southland Conference,26,1964,2025,Southland,
Big Eight Conference,26,1907,1996,Big Eight; Big Seven; Big Six; MVIAA,
Mountain West Conference,25,1999,2026,MW; MWC,
Sun Belt Conference,25,2001,2027,Sun Belt,
Rocky Mountain Athletic Conference,25,1896,2019,RMAC,
Gulf South Conference,25,1970,2025,Gulf South; Mid-South; GSC,
Southern Intercollegiate Athletic Conference,24,1913,2021,SIAC,
Big West Conference,24,1969,2000,Big West; PCAA,
Mid-American Conference,23,1946,2026,MAC,
Coastal Athletic Association Football Conference,23,2007,2026,CAA,
Wisconsin Intercollegiate Athletic Conference,23,1926,1997,WIAC; WSCC; WSTCC,
Ohio Athletic Conference,22,1902,2024,OAC,
Big 12 Conference,22,1996,2024,Big 12,
Missouri Valley Conference,22,1907,1985,MVC,
Big Ten Conference,22,1896,2024,Big Ten; Big Nine; Western Conference,
Ohio Valley Conference,21,1948,2022,OVC,
Independent schools prior to NCAA,21,1877,1906,Ind.,
Great Lakes Intercollegiate Athletic Conference,21,1974,2024,GLIAC,
Big Sky Conference,20,1963,2026,Big Sky,
Central Intercollegiate Athletic Association,20,1912,2010,CIAA,
Mid-America Intercollegiate Athletics Association,20,1912,2018,MIAA,
Missouri Valley Football Conference,20,1985,2025,Gateway; MVFC,
Atlantic Coast Conference,19,1953,2024,ACC,
Southeastern Conference,18,1932,2024,SEC,
Northern California Athletic Conference,17,1925,1996,NCAC; FWC,
Southwestern Athletic Conference,16,1920,2021,SWAC,
Northeast Conference,16,1981,2027,NEC,
NCAA University Division independent schools,16,1899,1976,Ind. (Univ.); Ind.,
Mid-Eastern Athletic Conference,16,1971,2020,MEAC,
South Atlantic Conference,15,1975,2024,SAC,
Conference Carolinas,15,1931,2025,CIAC; North State; Carolinas,
Northern Sun Intercollegiate Conference,15,1958,2025,NSIC; NIC,
Illinois Intercollegiate Athletic Conference,15,1910,1970,IIAC; IIC,
Pennsylvania State Athletic Conference,15,1934,2023,PSAC,
Texas Intercollegiate Athletic Association,14,1913,1990,TIAA,
Pioneer Football League,14,1993,2021,Pioneer,
Atlantic 10 Conference,14,1997,2006,A-10,
Patriot League,14,1986,2025,Patriot; Colonial League,
Big South Conference,14,2002,2022,Big South,
Ontario University Athletics,14,1971,2013,OUA; OUAA,
North Central Conference,13,1922,2007,NCC,
Big East Conference (1979–2013),13,1991,2012,Big East,
Yankee Conference,13,1947,1996,Yankee,
California Collegiate Athletic Association,13,1939,2000,CCAA,
Northeast-10 Conference,12,1980,2024,NE-10,
Great Plains Athletic Conference,12,1933,2022,NIAC; Great Plains; GPAC; Neb-Iowa AC,
Mid-States Football Association,12,1994,2023,MSFA,
Southwest Conference,11,1915,1995,SWC,
Mid-South Conference,11,1988,2022,Mid-South,
Midwest Athletic Association,11,1945,1966,Midwestern; Midwest; MAA,
Wisconsin State University Conference,11,1913,1996,WSUC; WSCC; WSTCC; WSNC,
Association of Mid-Continent Universities football,10,1978,1984,MCAA; AMCU,
Midwest Intercollegiate Football Conference,10,1990,1999,MIFC,
Great Northwest Athletic Conference,10,2001,2021,GNAC,
Big South–OVC Football Association,10,2023,2025,BSC–OVC,
Pacific Coast Conference,10,1891,1958,PCC,
Presidents' Athletic Conference,10,1955,2017,PAC; Presidents',
West Virginia Intercollegiate Athletic Conference,10,1924,2012,WVIAC,
United Athletic Conference (football),9,2023,2025,UAC,
Eastern Football Conference (1997–2000),9,1997,2000,EFC,
Kansas Collegiate Athletic Conference,9,1890,2023,KCAC; KIAC,
New Jersey Athletic Conference,9,1957,2020,NJAC; NJSAC,
Oklahoma Collegiate Conference,9,1929,1973,OCC,
Quebec University Football League,9,1974,2012,OQIFC; QUFL,
South Atlantic Intercollegiate Athletic Association,9,1907,1921,SAIAA,
Atlantic University Sport,8,1974,1999,AUS; AUAA,
Middle Atlantic Conferences,8,1946,1975,MAC; MASCAC; MASCAA; Middle Atlantic,
Arkansas Intercollegiate Conference,8,1922,1994,AIC; Arkansas,
Mountain States Conference,8,1938,1961,MSC,
Empire 8,8,1964,2015,Empire 8; EAA; ICAC,
Ivy League,8,1956,1956,Ivy,
Great West Conference,8,2004,2011,Great West,
Columbia Football Association,8,1985,2000,CFA,
Evergreen Conference,8,1939,1984,Evergreen; EvCo,
American Rivers Conference,8,1922,2018,ARC; IIAC,
Border Intercollegiate Athletic Association,7,1931,1961,BIAA; Border,
Western Football Conference (United States),7,1982,1992,Western,
College Conference of Illinois and Wisconsin,7,1946,2018,CCIW; CCI,
Mountain East Conference,7,2013,2024,MEC,
Midwest Conference,7,1938,2020,Midwest; MCAC,
Heart of America Athletic Conference,7,1971,2022,HAAC,
Intercollegiate Football Association,7,1876,1893,IFA,
Réseau du sport étudiant du Québec,7,1971,2011,RSEQ; QSSF; QUAA,
Great American Conference,7,2011,2013,GAC,
Minnesota Intercollegiate Athletic Conference,7,1920,2021,MIAC,
Gulf States Conference,7,1948,1970,Gulf States,
INACW,7,1913,1925,INACW,
Canada West Universities Athletic Association,6,1971,1999,CWUAA,
Great Midwest Athletic Conference,6,2014,2023,G-MAC,
Atlantic Sun Conference,6,2022,2022,ASUN,
Southern California Intercollegiate Athletic Conference,6,1920,2026,SCIAC,
NCAA Division I-AA independent schools,6,1978,2005,Ind. (I-AA); Ind.,
Great Lakes Valley Conference,6,2012,2023,GLVC,
Columbia Football League,6,1985,1987,CFL,
Southern Collegiate Athletic Conference,6,1962,2016,SCAC; CAC,
Central States Intercollegiate Conference,6,1976,1988,CSIAC; CSIC,
Gulf Star Conference,6,1984,1986,Gulf Star,
Texas Conference,5,1926,1955,Texas,
Southeastern Athletic Conference,5,1929,1961,SEAC,
Western Intercollegiate Athletic Association,5,1920,1970,WIAA,
Heartland Collegiate Conference,5,1951,1989,HCC; Heartland,
Indiana Intercollegiate Conference,5,1934,1947,IIC,
American Southwest Conference,5,1987,2021,ASC,
─,5,1917,2000,─,
University Athletic Association,5,1988,2017,UAA,
Southern Athletic Association,5,2012,2017,SAA,
Colorado Football Association,5,1890,1908,CFA,
Oklahoma Intercollegiate Conference (1974–1997),5,1974,1996,OIC,
River States Conference,5,1946,1947,KIAC,
Central States Football League,5,2000,2017,CSFL,
Northwest Conference,5,1946,2010,NWC; PNWC,
Frontier Conference,5,1931,2012,Frontier; Montana,
Michigan Intercollegiate Athletic Association,4,1885,1960,MIAA,
South Central Athletic Conference,4,1935,1961,SCAC,
New England Small College Athletic Conference,4,1971,2000,NESCAC,
Triangular Football League,4,1887,1909,Triangular,
American Mideast Conference,4,1949,1995,MOC; MOL,
Volunteer State Athletic Conference,4,1949,1962,VSAC,
Eastern Collegiate Football Conference (1988–1997),4,1990,1996,ECFC,
Liberty Football Conference,4,1985,1992,LFC,
American West Conference,4,1993,1995,AWC; Am. West,
California Coast Conference,4,1922,1928,CCC,
North Coast Athletic Conference,4,1984,2025,NCAC,
Great Lakes Football Conference,4,2006,2011,GLFC,
Buckeye Athletic Association,4,1928,1938,Buckeye,
New England Conference,4,1923,1946,NEC; New England,
Metro Atlantic Athletic Conference,4,1993,2007,MAAC,
Sun Conference,4,2014,2023,The Sun,
Dixie Conference,4,1930,1954,Dixie,
Louisiana Intercollegiate Athletic Association,4,1914,1947,Louisiana; LIAA,
NCAA Division I-A independent schools,4,1978,2005,Ind. (I-A),
Gulf Coast Conference,3,1949,1956,Gulf Coast,
NJCAA independent schools,3,1951,1997,Ind. (NJCAA),
Heartland Collegiate Athletic Conference,3,1989,1998,HCAC; ICAC,
South Dakota Intercollegiate Conference,3,1922,1999,SDIAC; SDIC,
Atlantic Central Football Conference,3,1998,2010,ACFC,
Indiana Collegiate Conference,3,1951,1977,ICC,
Interstate Intercollegiate Athletic Conference,3,1911,1940,IIAC,
Michigan Collegiate Conference,3,1927,1930,MCC; Michigan,
Oklahoma Intercollegiate Conference (1974–1996),3,1974,1996,OIC,
Oklahoma Intercollegiate Conference (1914–1928),3,1914,1928,Oklahoma,
Tri-Normal League,3,1920,1937,Tri-Normal,
Nebraska College Athletic Conference,3,1925,1976,Nebraska; NCAC,
Upper Midwest Athletic Conference,3,1974,2001,UMAC,
Mississippi Valley Conference,3,1926,1937,MVC,
South Carolina Little Three,3,1946,1964,SC-4; SC-3,
Metropolitan Intercollegiate Conference,3,1973,1984,Metro; MIC,
Kansas Jayhawk Community College Conference,3,1926,1976,KJCCC; KJJCC; KPJCA,
Liberty League,3,1995,2004,Liberty; UCAA,
Western Interstate University Football Association,3,1892,1897,WIUFA,
Mississippi Association of Community & Junior Colleges,3,1925,1948,MACJC,
Alabama Collegiate Conference,3,1960,1969,Alabama,
Alabama Intercollegiate Conference,3,1938,1959,AIC; Alabama,
Louisiana Intercollegiate Conference,3,1939,1947,Louisiana; LIC,
Little Three,2,1910,1970,Little Three,
Northeast Intercollegiate League,2,1891,1891,NIL,
Eastern Intercollegiate Football Association,2,1887,1890,EIFA,
Northern Intercollegiate Football Association,2,1885,1886,NIFA,
Association of Mideast Colleges,2,1991,1995,AMC,
Smoky Mountain Athletic Conference,2,1927,1951,SMAC,
Landmark Conference,2,2023,2023,Landmark,
Old Dominion Athletic Conference,2,1983,2016,ODAC,
Eastern Football Conference (1965–1974),2,1965,1974,EFC,
Middle Atlantic Athletic Association,2,1934,1934,M3A; MAAA,
Ontario-Quebec Intercollegiate Football Conference,2,1974,2000,OQIFC; O-QIFC,
Mason-Dixon Conference,2,1946,1974,Mason-Dixon,
Nebraska College Conference,2,1919,1962,NCAC; NIC,
Smoky Mountain Conference,2,1930,1948,Smoky Mountain; Smoky Mtn.,
New Mexico Intercollegiate Conference,2,1940,1958,Frontier (NM),
Central Intercollegiate Athletic Conference,2,1928,1968,CIAC,
Border Conference,2,1941,1961,Border,
Indiana Intercollegiate Athletic Association,2,1890,1895,IIAA,
Mid-South Athletic Conference,2,1970,1971,Mid-South,
North Star Athletic Association,2,2013,2024,North Star,
North Dakota College Athletic Conference,2,1922,1999,N. Dakota; Interstate,
Southwest Junior College Football Conference,2,1946,1950,SWJCFC,
Ind. (JuCo),2,1923,1942,Ind. (JuCo),
Middle Three Conference,2,1929,1957,Middle 3,
Eastern Intercollegiate Conference,2,1953,1960,EIC,
NCAA Division III independent schools (football),2,1978,1988,Ind.,
Central Intercollegiate Conference,2,1941,1968,CIC,
Big Four Conference (Oklahoma),2,1929,1932,Big Four,
Oregon Collegiate Conference,2,1950,1965,Oregon,
Virginia Conference,2,1932,1935,Virginia,
Southern  Conference,2,1922,1967,SoCon,
Pacific-10 Conference,2,1978,2010,Pac-10,
Pacific-8 Conference,2,1968,1977,Pac-8,
Athletic Association of Western Universities,2,1959,1967,AAWU,
Alamo Conference,2,1939,1940,Alamo,
South Dakota College Conference,1,1940,1940,SDCC,
Heart of America Conference,1,1971,1971,HAAC,
USA South Athletic Conference,1,2022,2022,USA South,
Gulf Coast Athletic Conference,1,1958,1961,GCAC,
Hoosier–Buckeye Conference,1,1971,1985,HBC,
Northwestern Ohio Intercollegiate Athletic Conference,1,1921,1931,NWOIAC,
Illinois Intercollege Conference,1,1937,1942,Illinois,
New York State Conference,1,1932,1934,NYSC,
Indiana College Athletic League,1,1916,1917,ICAL,
Northern California Football Alliance,1,1998,1998,NCFA,
Pacific Coast Athletic Association,1,1969,1971,PCAA,
America West Conference,1,1993,1995,AWC,
Western New York Little Three Conference,1,1941,1941,WNYL3,
Western Pennsylvania Conference,1,1958,1962,WPC,
Ind. (Coll.),1,1956,1957,Ind. (Coll.),
East Tennessee Football Association,1,1903,1926,ETFA,
[[North Coast Athletic Conference|NCAC]]/[[University Athletic Association|UAA]],1,1986,1999,[[North Coast Athletic Conference|NCAC]]/[[University Athletic Association|UAA]],
New England Women's and Men's Athletic Conference,1,2017,2022,NEWMAC,
Mason–Dixon Conference,1,1947,1949,Mason-Dixon,
North Atlantic Conference (1946),1,1946,1946,NAC,
Eastern College Athletic Conference,1,2000,2000,ECAC,
Twin River Collegiate Conference,1,1976,1978,TRCC,
Non-affiliated independent schools,1,1974,1973,Ind.,
Quebec Intercollegiate Football Conference,1,2001,2003,QIFC,
Ohio Athletic Association,1,1926,1934,OAC,
Heartland Collegiate Athletic Conferences,1,1989,1997,ICAC,
Great Plains College Association,1,1963,1964,GPCA,
Hawkeye College Conference,1,1916,1917,Hawkeye,
South East Atlantic Conference,1,2004,2008,South East,
SCIAA,1,1915,1924,SCIAA,
Michigan-Ontario Collegiate Conference,1,1938,1945,MOCC,
Great Plains Athletic Conference (1972–1976),1,1972,1975,GPAC,
NCAA independent schools before 1937,1,1902,1914,Ind.,
Texas Intercollegiate Athletic Association (1976–1997),1,1990,1995,TIAA,
Texas Intercollegiate Athletic Conference,1,1925,1925,TIAA,
Arkansas Association,1,1927,1929,Arkansas,
Independent schools prior to divisions,1,1924,1939,Ind.,
Illinois Intercollegiate Football League,1,1891,1895,IIFL,
Jacinto Licea,1,2020,2020,Jacinto Licea,
Premier,1,2009,2019,Premier,
12 Grandes,1,2005,2008,12 Grandes,
10 Grandes,1,1997,2004,10 Grandes,
Mayor,1,1989,1996,Mayor,
Organización Nacional Estudiantil de Fútbol Americano,1,1978,1988,N/A (ONEFA),
Virginia College Athletic Association,1,1974,1975,VCAA,
Dakota Athletic Conference,1,2000,2011,Dakota,
Eastern Collegiate Football Conference,1,2020,2022,ECFC,
NCAA Division I Football Championship Subdivision,1,1977,1985,Ind. (I-AA),
Sooner Athletic Conference,1,2018,2018,Sooner,
Kentucky Intercollegiate Athletic Association,1,1914,1920,KIAA,
Maryland Intercollegiate Football Association,1,1894,1897,MIFA,
Maine Intercollegiate Athletic Association,1,1893,1937,Maine,
Atlantic Collegiate Football Conference,1,1989,1991,ACFC,
Football Canada,1,1898,1970,CRFU,
Illini–Badger Football Conference,1,1976,1981,IBFC,
[[Interstate Intercollegiate Athletic Conference|IIAC]]/[[Midwest Conference|Midwest]],1,1925,1937,[[Interstate Intercollegiate Athletic Conference|IIAC]]/[[Midwest Conference|Midwest]],
[[Little Five Conference|Little 5]]/[[Interstate Intercollegiate Athletic Conference|IIAC]],1,1917,1917,[[Little Five Conference|Little 5]]/[[Interstate Intercollegiate Athletic Conference|IIAC]],
South Coast Conference (CCCAA),1,1995,1995,South Coast,
New England Football Conference,1,1974,1980,NEFC,
Texas Intercollegiate Conference,1,1925,1930,Texas,
Frontier Conference (New Mexico),1,1953,1962,Frontier,
Commonwealth Coast Football,1,1985,1985,NEFC,
Prairie Football Conference,1,1976,1998,Prairie,
Manitoba-Saskatchewan Junior Football League,1,1954,1975,Man-Sask,
NCAA Division III indepedent schools,1,1990,1995,Ind. (Div. III),
Canada West University Athletic Association,1,2002,2009,CWUAA,
Tri-State Conference (1960–1981),1,1960,1976,Tri-State,
Northern Athletics Collegiate Conference,1,2021,2021,NACC,
Midlands Conference,1,1947,1953,Midlands,
United Athletic Conferenee (football),1,2023,2025,UAC,
Freedom Football Conference,1,1992,1995,FFC,
Missouri College Athletic Union,1,1924,1970,MCAU,
Midwestern Conference,1,1945,1961,Midwestern,
Southern Intercollegiate Athletic Conference (SIAC),1,1926,1929,Southern Intercollegiate Athletic Conference (SIAC),
Border Intercollegiate Athletic Conference,1,1935,1959,Border,
Northwestern Ohio Intercollegiate Athletic Association,1,1921,1931,NWOIAA,
Northern Illinois Intercollegiate Conference,1,1988,1993,NIIC,
NCAA Division I FCS indepdendent schools,1,2020,2020,Ind. (FCS),
List of NCCAA institutions,1,2017,2017,N/A (NCCAA),
None,1,2014,2016,None,
List of USCAA institutions,1,2011,2013,N/A (USCAA),
Big Five Conference,1,1932,1936,Big Five,
Central Conference,1,1928,1934,Central,
Kansas Conference,1,1901,1927,Kansas,
Nebraska Intercollegiate Athletic Association,1,1928,1942,NIAA,
Nebraska Intercollegiate Conference,1,1916,1927,NIC,
Western Athletc Conference,1,2026,2026,UAC,
[[]],1,1905,1926,[[]],
Ontario-Quebec Athletic Association,1,1954,1970,O-QAA,
Canadian Interuniversity Sport,1,1926,1953,CIAU,
Oregon College Conference,1,1950,1970,Oregon,
Washington Inter-collegiate Conference,1,1938,1947,WIC,
Washington Intercollegiate Conference,1,1947,1947,WinCo,
unknown,1,1890,1946,unknown,
Central Canadian Intercollegiate Football Conference,1,1967,1970,CCIFC,
Ontario Intercollegiate Football Conference,1,1961,1966,OIFC,
NCAA independent schools,1,1940,1944,Ind.,
N/A,1,1975,1975,N/A,
