wikiSchool,status,candidateIds,candidateNames,confirmedTeamId
Abilene Christian University,suggested,2000,Abilene Christian,2000
Acadia University,unmatched,,,
United States Air Force Academy,suggested,2005,Air Force,2005
University of Akron,suggested,2006,Akron,2006
University of Alabama,suggested,333,Alabama,333
Alabama Agricultural and Mechanical University,suggested,2010,Alabama A&M,2010
University of Alabama at Birmingham,suggested,5,UAB,5
Alabama State University,suggested,2011,Alabama State,2011
"University at Albany, SUNY",unmatched,,,399
Albany State University,unmatched,,,2013
University of Alberta,unmatched,,,
Albion College,suggested,2790,Albion,2790
Albright College,suggested,2015,Albright,2015
Alcorn State University,suggested,2016,Alcorn State,2016
Allen University,suggested,2019,Allen,2019
American International College,suggested,2022,American International,2022
Amherst College,suggested,7,Amherst,7
Anderson University (Indiana),ambiguous,2023; 129469,Anderson (IN); Anderson (SC),2023
Anderson University (South Carolina),ambiguous,2023; 129469,Anderson (IN); Anderson (SC),129469
Angelo State University,suggested,2025,Angelo State,2025
Appalachian State University,suggested,2026,App State,2026
University of Arizona,suggested,12,Arizona,12
Arizona State University,suggested,9,Arizona State,9
University of Arkansas,suggested,8,Arkansas,8
University of Arkansas at Pine Bluff,suggested,2029,Arkansas-Pine Bluff,2029
Arkansas State University,suggested,2032,Arkansas State,2032
United States Military Academy,suggested,349,Army,349
Ashland University,suggested,308,Ashland,308
Assumption University,suggested,2038,Assumption,2038
Auburn University,suggested,2,Auburn,2
Augustana University,ambiguous,2042; 2043,Augustana (IL); Augustana University (SD),2043
Austin Peay State University,unmatched,,,2046
Azusa Pacific University,unmatched,,,NEW
Baker University,unmatched,,,NEW
Baldwin Wallace University,suggested,188,Baldwin Wallace,188
Ball State University,suggested,2050,Ball State,2050
Barton College,suggested,122666,Wilson,122666
Baylor University,suggested,239,Baylor,239
Belhaven University,suggested,2056,Belhaven,2056
Bemidji State University,suggested,132,Bemidji State,132
Bentley University,suggested,2060,Bentley,2060
Bethel University (Tennessee),suggested,2802,Bethel (MN),NEW
Bethune-Cookman University,suggested,2065,Bethune-Cookman,2065
Bishop College,unmatched,,,
Bluffton University,suggested,2074,Bluffton,2074
Boise State University,suggested,68,Boise State,68
Boston University,suggested,103,Boston College,103
Bowie State University,suggested,2075,Bowie State,2075
Bowling Green State University,suggested,189,Bowling Green,189
Bradley University,unmatched,,,NEW
University of British Columbia,unmatched,,,
Brigham Young University,suggested,252,BYU,252
Brooklyn College,unmatched,,,NEW
Brown University,suggested,225,Brown,225
Bryant University,suggested,2803,Bryant,2803
University of Bucknell,suggested,2083,Bucknell,2083
University at Buffalo,suggested,2084,Buffalo,2084
Butler University,suggested,2086,Butler,2086
Butte College,unmatched,,,NEW
University of Calgary,unmatched,,,
C. W. Post,unmatched,,,2341
"University of California, Berkeley",unmatched,,,25
"University of California, Davis",suggested,302,UC Davis,302
"University of California, Los Angeles",unmatched,,,26
"University of California, Santa Barbara",unmatched,,,NEW
"California State University, Bakersfield",unmatched,,,NEW
"California State University, Chico",unmatched,,,NEW
"California State University, Long Beach",unmatched,,,NEW
"California State University, Fullerton",unmatched,,,NEW
"California State University, Northridge",unmatched,,,NEW
"California State University, Sacramento",suggested,16,Sacramento State,16
"California Polytechnic State University, Pomona",unmatched,,,NEW
California Polytechnic State University,suggested,13,Cal Poly,13
Cameron University,unmatched,,,NEW
Campbell University,suggested,2097,Campbell,2097
Canisius College,unmatched,,,NEW
Carleton University,suggested,2101,Carleton,2101
Carnegie Mellon University,suggested,2102,Carnegie Mellon,2102
Carson–Newman University,suggested,2105,Carson-Newman College,2105
Carthage College,suggested,2106,Carthage,2106
Case Western Reserve University,suggested,2963,Case Western Reserve,2963
Case Western Reserve University,suggested,2963,Case Western Reserve,2963
Catholic University of America,suggested,2108,Catholic,2108
University of Central Arkansas,suggested,2110,Central Arkansas,2110
Central Connecticut State University,suggested,2115,Central Connecticut,2115
University of Central Florida,suggested,2116,UCF,2116
Central Michigan University,suggested,2117,Central Michigan,2117
University of Central Missouri,suggested,2118,Central Missouri,2118
University of Central Oklahoma,suggested,2122,Central Oklahoma,2122
Central State University,suggested,2119,Central State (OH),2119
Central Washington University,suggested,2120,Central Washington,2120
Centre College,suggested,2121,Centre College Kentucky,2121
Chadron State College,unmatched,,,2123
University of Charleston,suggested,2128,University Of Charleston (WV),2128
University of North Carolina at Charlotte,suggested,2429,Charlotte,2429
Cheyney University,unmatched,,,NEW
University of Chicago,suggested,80,Chicago,80
Chicago State University,unmatched,,,NEW
University of Cincinnati,suggested,2132,Cincinnati,2132
Clark Atlanta University,suggested,2805,Clark Atlanta,2805
Clarke University,unmatched,,,NEW
Clemson University,suggested,228,Clemson,228
Coastal Carolina University,suggested,324,Coastal Carolina,324
Colgate University,suggested,2142,Colgate,2142
University of Colorado Boulder,suggested,38,Colorado,38
